# Top Rated Chess Players (FIDE Classical Rating Snapshot)

| Rank | Player | Federation | Classical Rating |
|---:|---|---|---:|
| 1 | Magnus Carlsen | NOR | 2830 |
| 2 | Garry Kasparov | RUS | 2812 |
| 3 | Fabiano Caruana | USA | 2805 |
| 4 | Ding Liren | CHN | 2799 |
| 5 | Ian Nepomniachtchi | RUS | 2793 |
| 6 | Viswanathan Anand | IND | 2791 |
| 7 | Hikaru Nakamura | USA | 2787 |
| 8 | Levon Aronian | ARM | 2785 |
| 9 | Wesley So | USA | 2782 |
| 10 | Vassily Ivanchuk | UKR | 2779 |
| 11 | Maxime Vachier-Lagrave | FRA | 2776 |
| 12 | Alexander Grischuk | RUS | 2733 |
