# Common Felony Offenses and Typical Penalties in the United States (General Overview)

| Felony offense (general) | Typical charge category | Common prison range | Typical fine range | Notes |
| --- | --- | --- | --- | --- |
| Burglary (residential) | Felony | 1–20 years | $1,000–$50,000 | Varies widely by jurisdiction |
| Robbery | Felony | 2–25 years | $1,000–$100,000 | Often enhanced if weapon used |
| Aggravated assault | Felony | 1–15 years | $1,000–$25,000 | Serious bodily injury elevates level |
| Drug trafficking | Felony | 5–40 years | $5,000–$250,000 | Quantity thresholds differ |
| Fraud (large amount) | Felony | 1–10 years | Restitution + $5,000–$100,000 | Sentencing depends on loss amount |
| Motor vehicle theft | Felony | 1–10 years | $1,000–$25,000 | Prior convictions increase penalties |
| Arson | Felony | 2–20 years | $5,000–$50,000 | Degree depends on occupied structure |
| Manslaughter | Felony | 2–30 years | $5,000–$100,000 | Involuntary vs voluntary differs |
| Murder (second degree) | Felony | 15 years–life | $10,000–$250,000 | Some states allow parole |
| Murder (first degree) | Felony | Life without parole or death | $10,000–$250,000 | Death penalty not available in all states |
