# Nutrient Recommendations for Children and Teens (Mixed Units and Mixed Time Bases)

| Age group | Calcium | Iron | Vitamin D | Vitamin A | Zinc | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| 4–8 years | 1,000 mg/day | 10 mg/day | 15 µg/day | 400 µg RAE/day | 5 mg/day | mixed units shown |
| 9–13 years | 1,300 mg/day | 8 mg/day | 600 IU/day | 600 µg RAE/day | 8 mg/day | vitamin D switches to IU |
| 14–18 years (boys) | 1,300 mg/day | 11 mg/day | 600 IU/day | 900 µg RAE/day | 11 mg/day | D in IU |
| 14–18 years (girls) | 1,300 mg/day | 15 mg/day | 15 µg/day | 700 µg RAE/day | 9 mg/day | D in µg |
| 9–13 years | 1,300 mg/day | 8 mg/day | 15 µg/day | 600 µg RAE/day | 8 mg/day | duplicated age group |
| 4–8 years | 1,000 mg/day | 10 mg/day | 400 IU/week | 400 µg RAE/day | 5 mg/day | weekly dose included |
| 14–18 years (boys) | 1,300 mg/day | 11 mg/day | 600 IU/day | 900 µg RAE/day | 11 mg/day | repeated row |
| 14–18 years (girls) | 1,300 mg/day | 15 mg/day | 15 µg/day | 700 µg RAE/day | 9 mg/day | repeated row |
| 1–3 years | 700 mg/day | 7 mg/day | 600 IU/day | 300 µg RAE/day | 3 mg/day | includes toddlers too |
