# Daylight Saving Time (DST) by Country Territory — Start and End Dates (Sample Comparison Table)

| Country/Territory | Region | DST observed? | DST start date (clocks forward) | DST end date (clocks back) | Notes |
| --- | --- | --- | --- | --- | --- |
| United States | North America | Yes | Second Sunday in March | First Sunday in November | Nationwide (with some local exceptions) |
| Canada | North America | Yes | Second Sunday in March | First Sunday in November | Most provinces/territories observe DST |
| Mexico | North America | Partial | First Sunday in April (varies by zone) | Last Sunday in October (varies by zone) | Some areas follow U.S. rules |
| United Kingdom | Europe | Yes | Last Sunday in March | Last Sunday in October | Known as British Summer Time (BST) |
| Germany | Europe | Yes | Last Sunday in March | Last Sunday in October | EU-style schedule |
| Egypt | Africa | Yes (policy can change) | Late April (as announced for a given year) | Late October | Rules may be updated by decree |
| Jamaica | Caribbean | No | — | — | No seasonal clock changes |
| Japan | Asia | No | — | — | No seasonal clock changes |
| Thailand | Asia | No | — | — | No seasonal clock changes |
| Australia (New South Wales) | Oceania | Yes | First Sunday in October | First Sunday in April | Other states/territories differ |
| New Zealand | Oceania | Yes | Last Sunday in September | First Sunday in April | Nationwide DST rules |
