# Book Labels in Catholic vs Protestant Traditions (Deuterocanonical Apocrypha Mapping)

| # | Protestant Bible (Common English) | Douay–Rheims (Catholic) | Latin Vulgate Label | Notes (Organization/Labeling) |
|---:|---|---|---|---|
| 1 | 1 Samuel | 1 Kings | Liber I Regum | Catholic/Vulgate count Samuel as Kings 1–2 |
| 2 | 2 Samuel | 2 Kings | Liber II Regum | Same renumbering pattern |
| 3 | 1 Kings | 3 Kings | Liber III Regum | Protestant 1 Kings corresponds to Catholic 3 Kings |
| 4 | 2 Kings | 4 Kings | Liber IV Regum | Protestant 2 Kings corresponds to Catholic 4 Kings |
| 5 | 1 Chronicles | 1 Paralipomenon | Liber I Paralipomenon | Vulgate uses “Paralipomenon” |
| 6 | 2 Chronicles | 2 Paralipomenon | Liber II Paralipomenon | Labeling differs, content corresponds |
| 7 | Ezra | 1 Esdras (Ezra) | Liber Esdrae I | Some Catholic lists label Ezra as 1 Esdras |
| 8 | Nehemiah | 2 Esdras (Nehemiah) | Liber Esdrae II | Nehemiah mapped as 2 Esdras in some traditions |
| 9 | (Not in Protestant OT) | Tobit | Tobias | Deuterocanonical in Catholic canons |
| 10 | (Not in Protestant OT) | Judith | Iudith | Deuterocanonical |
| 11 | (Not in Protestant OT) | Wisdom | Sapientia | Often titled “Wisdom of Solomon” in other English editions |
| 12 | (Not in Protestant OT) | Ecclesiasticus | Ecclesiasticus (Sirach) | Also commonly labeled “Sirach” |
| 13 | (Not in Protestant OT) | Baruch | Baruch | Included with Jeremiah-related books in some arrangements |
| 14 | (Not in Protestant OT) | 1 Maccabees | Machabaeorum I | Deuterocanonical |
| 15 | (Not in Protestant OT) | 2 Maccabees | Machabaeorum II | Deuterocanonical |
