# 1974 NBA draft
> Draft

| Round | Pick | Player | Pos. | Nationality | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Walton, Bill Bill Walton ^ | F/C | United States | Portland Trail Blazers | UCLA ( Sr. ) |
| 1 | 2 | Barnes, Marvin Marvin Barnes | F/C | United States | Philadelphia 76ers | Providence ( Sr. ) |
| 1 | 3 | Burleson, Tommy Tommy Burleson | C | United States | Seattle SuperSonics (from Cleveland ) [a] | North Carolina State ( Sr. ) |
| 1 | 4 | Shumate, John John Shumate | F/C | United States | Phoenix Suns | Notre Dame ( Sr. ) 1[›] |
| 1 | 5 | Jones, Bobby Bobby Jones + | F | United States | Houston Rockets | North Carolina ( Sr. ) |
| 1 | 6 | Wedman, Scott Scott Wedman + | G/F | United States | Kansas City-Omaha Kings | Colorado ( Sr. ) |
| 1 | 7 | Henderson, Tom Tom Henderson | G | United States | Atlanta Hawks | Hawaii ( Sr. ) |
| 1 | 8 | Russell, Campy Campy Russell + | F | United States | Cleveland Cavaliers (from Seattle ) [a] | Michigan ( Jr. ) |
| 1 | 9 | McMillen, Tom Tom McMillen | F/C | United States | Buffalo Braves | Maryland ( Sr. ) |
| 1 | 10 | Sojourner, Mike Mike Sojourner | F/C | United States | Atlanta Hawks (from New Orleans ) [b] | Utah ( So. ) |
| 1 | 11 | Keith Wilkes ^ (Jamaal Wilkes) 1[›] | G/F | United States | Golden State Warriors | UCLA ( Sr. ) |
| 1 | 12 | Winters, Brian Brian Winters + | G/F | United States | Los Angeles Lakers | South Carolina ( Sr. ) |
| 1 | 13 | Elmore, Len Len Elmore | F/C | United States | Washington Bullets | Maryland ( Sr. ) |
| 1 | 14 | Lucas, Maurice Maurice Lucas * | F/C | United States | Chicago Bulls (from New York ) [c] | Marquette ( Jr. ) |
| 1 | 15 | Eberhard, Al Al Eberhard | F | United States | Detroit Pistons | Missouri ( Sr. ) |
| 1 | 16 | Pondexter, Cliff Cliff Pondexter | F/C | United States | Chicago Bulls | Long Beach State ( Fr. ) |
| 1 | 17 | McDonald, Glenn Glenn McDonald | G/F | United States | Boston Celtics | Long Beach State ( Sr. ) |
| 1 | 18 | Brokaw, Gary Gary Brokaw | G | United States | Milwaukee Bucks | Notre Dame ( Jr. ) |
| 2 | 19 | Smith, Don Don Smith | G | United States | Philadelphia 76ers | Dayton ( Sr. ) |
| 2 | 20 | van Breda Kolff, Jan Jan van Breda Kolff | G/F | United States | Portland Trail Blazers | Vanderbilt ( Sr. ) |
| 2 | 21 | Knight, Billy Billy Knight + | G/F | United States | Los Angeles Lakers (from Cleveland ) [d] | Pittsburgh ( Sr. ) |
| 2 | 22 | Robinson, Truck Truck Robinson * | F/C | United States | Washington Bullets (from Phoenix via Los Angeles ) [e] | Tennessee State ( Sr. ) |
| 2 | 23 | Bailey, Gus Gus Bailey | G/F | United States | Houston Rockets | Texas-El Paso ( Sr. ) |
| 2 | 24 | Kosmalski, Len Len Kosmalski | C | United States | Kansas City-Omaha Kings | Tennessee ( Sr. ) |
| 2 | 25 | Drew, John John Drew + | G/F | United States | Atlanta Hawks | Gardner–Webb ( Jr. ) |
| 2 | 26 | Gray, Leonard Leonard Gray | F | United States | Seattle SuperSonics | Long Beach State ( Sr. ) |
| 2 | 27 | Benbow, Leon Leon Benbow | G | United States | Chicago Bulls (from Buffalo ) [f] | Jacksonville ( Sr. ) |
| 2 | 28 | James, Aaron Aaron James | F | United States | New Orleans Jazz | Grambling ( Sr. ) |
| 2 | 29 | Smith, Phil Phil Smith * | G | United States | Golden State Warriors | San Francisco ( Sr. ) |
| 2 | 30 | DuVal, Dennis Dennis DuVal | G | United States | Washington Bullets | Syracuse ( Sr. ) |
| 2 | 31 | Saunders, Fred Fred Saunders | F | United States | Phoenix Suns (from Los Angeles ) [g] | Syracuse ( Sr. ) |
| 2 | 32 | Dark, Jesse Jesse Dark | G | United States | New York Knicks | Virginia Commonwealth ( Sr. ) |
| 2 | 33 | Money, Eric Eric Money | G | United States | Detroit Pistons | Arizona ( So. ) |
| 2 | 34 | Lumpkin, Phil Phil Lumpkin | G | United States | Portland Trail Blazers (from Chicago ) [h] | Miami (Ohio) ( Sr. ) |
| 2 | 35 | Stacom, Kevin Kevin Stacom | G | United States | Boston Celtics | Providence ( Sr. ) |
| 2 | 36 | Collins, Rubin Rubin Collins # | G | United States | Portland Trail Blazers (from Milwaukee via Philadelphia ) [i] | Maryland-Eastern Shore ( Jr. ) |
