# Spring Material Selection — Standards and Classifications (No Mechanical Test Data)

| Category | Material/Standard | Product Form | Common Spring Type | Corrosion Resistance | Temperature Class | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Carbon steel wire | ASTM A228 | Round wire | Compression/extension | Low | Room | Music wire |
| Carbon steel wire | ASTM A229 | Round wire | General helical springs | Low | Room | Oil-tempered |
| Alloy steel wire | ASTM A401 | Round wire | High-stress helical | Low | Medium | Cr-Si |
| Alloy steel bar | AISI 5160 | Bar/strip | Leaf springs | Low | Medium | Automotive |
| Stainless wire | ASTM A313 Type 302 | Round wire | Corrosion-resistant coils | Medium | Medium | Work-hardening |
| Stainless wire | ASTM A313 Type 316 | Round wire | Marine coils | High | Medium | Chloride resistant |
| Nickel alloy | UNS N07750 | Wire/strip | High-temp springs | High | High | Aerospace |
| Copper alloy | C17200 | Strip/wire | Electrical contact springs | Medium | Medium | BeCu |
| Plastic | PEEK | Rod/strip | Light-duty springs | High | High | Creep-sensitive |
| Elastomer | Silicone rubber | Molded | Return elements | High | Low | Not a metal spring |
