# Common Coordination Complex Formulas Featuring Inorganic Ligands (No Ligand Charge Column)

| Complex / ion | Overall formula | Net charge | Metal center | Ligands present (as written) |
| --- | --- | --- | --- | --- |
| Hexaamminecobalt(III) | [Co(NH3)6]Cl3 | 0 | Co(III) | NH3 |
| Tetraamminecopper(II) sulfate | [Cu(NH3)4]SO4 | 0 | Cu(II) | NH3 |
| Potassium tetracyanonickelate(II) | K2[Ni(CN)4] | 2− (anion) | Ni(II) | CN |
| Sodium nitroprusside | Na2[Fe(CN)5NO] | 2− (anion) | Fe(II) | CN, NO |
| Dichlorotetraamminecobalt(III) chloride | [Co(NH3)4Cl2]Cl | 1+ (cation) | Co(III) | NH3, Cl |
| Diamminesilver(I) nitrate | [Ag(NH3)2]NO3 | 0 | Ag(I) | NH3 |
| Tetrachlorocuprate(II) | [CuCl4]2− | 2− | Cu(II) | Cl |
| Hexafluorophosphate | PF6− | 1− | P(V) | F |
| Tris(oxalato)chromate(III) | [Cr(C2O4)3]3− | 3− | Cr(III) | C2O4 |
