# VSEPR Shape Determination by Counts  bonding groups and lone pairs → shape

| Bonding groups on central atom | Lone pairs on central atom | VSEPR AXE code | Molecular shape |
|---:|---:|---|---|
| 2 | 0 | AX2E0 | Linear |
| 3 | 0 | AX3E0 | Trigonal planar |
| 2 | 1 | AX2E1 | Bent |
| 4 | 0 | AX4E0 | Tetrahedral |
| 3 | 1 | AX3E1 | Trigonal pyramidal |
| 2 | 2 | AX2E2 | Bent |
| 5 | 0 | AX5E0 | Trigonal bipyramidal |
| 4 | 1 | AX4E1 | Seesaw |
| 3 | 2 | AX3E2 | T-shaped |
| 2 | 3 | AX2E3 | Linear |
| 6 | 0 | AX6E0 | Octahedral |
| 5 | 1 | AX5E1 | Square pyramidal |
| 4 | 2 | AX4E2 | Square planar |
| 3 | 3 | AX3E3 | T-shaped |
| 2 | 4 | AX2E4 | Linear |
