# Minecraft Bedrock (PE) Servers You Can Join (Address + Port Column)

| Server Name | Address | Port | Game Mode | Region | Supported Versions |
| --- | --- | --- | --- | --- | --- |
| AtlasPE | play.atlaspe.net | 19132 | Survival | NA | 1.20+ |
| BambooCraft | bedrock.bamboocraft.org | 19132 | Skyblock | EU | 1.19+ |
| CobaltFactions | cobalt.mcpe.host | 19132 | Factions | NA | 1.18+ |
| DriftSMP | drift-smp.com | 19132 | SMP | AS | 1.20+ |
| EmberParkour | emberparkour.net | 19133 | Parkour | EU | 1.17+ |
| HarborGames | join.harborgames.gg | 19132 | Minigames | NA | 1.16+ |
| IronClans | ironclans.pe | 19132 | Clans | OC | 1.19+ |
| JunglePrison | jungleprison.net | 19134 | Prison | NA | 1.20+ |
| NeonKitPvP | neonkitpvp.com | 19132 | KitPvP | EU | 1.18+ |
| TundraAnarchy | tundraanarchy.net | 19132 | Anarchy | NA | 1.20+ |
