# Government PSU Diploma Recruitment Routes — Roles Explicitly Labeled for Diploma Candidates

| Sector (Govt./PSU) | Typical Diploma-Only Role Label | Recruiting Body (Example) | Key Post Names Included | Fresher-Friendly? |
| --- | --- | --- | --- | --- |
| Railways | Diploma Technician / Junior Engineer (JE) | Railway Recruitment Board (RRB) | JE (Civil/Electrical/Mechanical), DMS, CMA | Yes (often entry-level) |
| Power Generation/Transmission (PSU) | Diploma Engineer Trainee (DET) | Power-sector PSUs | DET (Electrical/Mechanical), Technician Trainee | Yes (trainee intake) |
| Oil & Gas (PSU) | Junior Engineering Assistant (Diploma) | Refinery/Marketing PSUs | Jr. Engg. Assistant (Process/Mech/Instr), Jr. Technician | Yes (for diploma holders) |
| Ports/Shipping | Diploma Apprentice / Technical Assistant | Port Trusts / Shipping PSUs | Diploma Apprentice, Technical Assistant (Marine/Electrical) | Yes (apprentice pathway) |
| Public Health Engineering | Sub-Engineer / Junior Engineer (Diploma) | State PHED | Sub-Engineer (Civil), JE (Public Health) | Yes (direct/contract varies) |
| Airports/Aviation (Govt./PSU) | Junior Assistant (Technical) / Technician | Airport operator / aviation bodies | Jr. Assistant (Tech), Technician (Electrical/Mechanical) | Often yes |
| Telecom/IT Infrastructure (PSU) | Technician / Junior Engineer (Diploma) | Telecom PSUs | Technician (Electronics), JE (Telecom) | Yes (entry-level intakes) |
| Defense Production (non-MOS, civilian) | Diploma Apprentice / Junior Technician | Ordnance/defense PSUs | Diploma Apprentice, Jr. Technician (Fitter/Electrician) | Yes (apprentice-to-job) |
| State Skill/Industrial Training | Instructor (Diploma) / Workshop Staff | Govt. ITIs/Training Institutes | Workshop Instructor, Lab Instructor | Sometimes (depends on rules) |
| Survey/Mapping | Draftsman / Surveyor (Diploma) | State survey departments | Draftsman, Surveyor | Yes (often diploma-targeted) |
