# 2016 Draft RB Prospect Tiered Rankings (Running Backs Only)

| Tier | RB Rank | Player | College | Notes |
|---|---:|---|---|---|
| Tier 1 | 1 | Ezekiel Elliott | Ohio State | Feature back profile |
| Tier 1 | 2 | Derrick Henry | Alabama | Power/volume runner |
| Tier 2 | 3 | Devontae Booker | Utah | Three-down potential |
| Tier 2 | 4 | Kenneth Dixon | Louisiana Tech | Production-driven grade |
| Tier 2 | 5 | Jordan Howard | Indiana | Early-down runner |
| Tier 3 | 6 | C.J. Prosise | Notre Dame | Receiving upside |
| Tier 3 | 7 | Paul Perkins | UCLA | Vision/quickness |
| Tier 3 | 8 | Kenyan Drake | Alabama | Space/return value |
| Tier 4 | 9 | Jonathan Williams | Arkansas | Depth/competition |
| Tier 4 | 10 | Alex Collins | Arkansas | Rotational projection |
