# MRI Spine Exam Ordering Guide  CPT Codes Split by Contrast Selection

| Exam name (spine) | Contrast selection on order | CPT code | Notes / ordering cues |
| --- | --- | --- | --- |
| MRI Cervical Spine | Without contrast | 72141 | Typical first-line for degenerative disease |
| MRI Cervical Spine | With contrast | 72142 | Consider for tumor/infection workup |
| MRI Cervical Spine | With & without contrast | 72156 | Common when both noncontrast anatomy + enhancement needed |
| MRI Thoracic Spine | Without contrast | 72146 | Baseline thoracic evaluation |
| MRI Thoracic Spine | With & without contrast | 72157 | Often used for mass, infection, inflammatory lesions |
| MRI Lumbar Spine | Without contrast | 72148 | Most common for low back pain |
| MRI Lumbar Spine | With contrast | 72149 | Less common alone; used in specific indications |
| MRI Lumbar Spine | With & without contrast | 72158 | Post-op or neoplasm evaluation |
| MRI Sacrum/Coccyx | Without contrast | 72195 | Tailbone/sacral region evaluation |
| MRI Sacrum/Coccyx | With & without contrast | 72197 | Suspected tumor/infection of sacrum |
