# Megapixels to Pixel Dimensions (Typical 3 2   APS-C & Full-Frame Stills)

| Megapixels (MP) | Typical Aspect Ratio | Approx. Image Resolution (pixels, W × H) | Common Use / Sensor Type |
| --- | --- | --- | --- |
| 6 MP | 3:2 | 3008 × 2000 | Early DSLR (APS-C) |
| 8 MP | 3:2 | 3456 × 2304 | Entry DSLR (APS-C) |
| 10 MP | 3:2 | 3872 × 2592 | APS-C DSLR |
| 12 MP | 3:2 | 4288 × 2848 | APS-C / full-frame (older) |
| 16 MP | 3:2 | 4928 × 3264 | APS-C / mirrorless |
| 20 MP | 3:2 | 5472 × 3648 | APS-C / 1-inch (3:2 modes) |
| 24 MP | 3:2 | 6000 × 4000 | Common APS-C / full-frame |
| 30 MP | 3:2 | 6720 × 4480 | Full-frame high-res |
| 36 MP | 3:2 | 7360 × 4912 | Full-frame high-res |
| 45 MP | 3:2 | 8256 × 5504 | Full-frame pro high-res |
