# USPS Priority Mail Flat Rate Packaging  Retail Online Prices Only (No Commercial Base)

| Flat Rate Packaging | Price (Paid at Post Office / Retail & Online) | Notes |
|---|---:|---|
| Small Flat Rate Envelope | $6.45 | Includes free USPS packaging |
| Legal Flat Rate Envelope | $6.45 | Legal-size envelope |
| Padded Flat Rate Envelope | $6.80 | Padded mailer |
| Small Flat Rate Box | $6.80 | Box, small |
| Medium Flat Rate Box (Top-Loading) | $13.45 | Medium box style 1 |
| Medium Flat Rate Box (Side-Loading) | $13.45 | Medium box style 2 |
| Large Flat Rate Box | $18.75 | Large box |
| Large Flat Rate Board Game Box | $18.75 | Specialty large box |
| APO/FPO/DPO Flat Rate Box | $16.75 | Military/Diplomatic mail |
