# DST observance and changeover dates by country territory (common annual pattern)

| Country/Territory | Continent | DST Observed? | Start (clock forward) | End (clock back) | Change time (local) |
|---|---|---|---|---|---|
| Ireland | Europe | Yes | Last Sunday in March | Last Sunday in October | 01:00 |
| Spain | Europe | Yes | Last Sunday in March | Last Sunday in October | 02:00 |
| Germany | Europe | Yes | Last Sunday in March | Last Sunday in October | 02:00 |
| Greece | Europe | Yes | Last Sunday in March | Last Sunday in October | 03:00 |
| Turkey | Asia/Europe | No | — | — | — |
| Morocco | Africa | Yes (with pause) | Last Sunday in March | Last Sunday in October | 02:00 |
| Egypt | Africa | Partial/Intermittent | Typically late April | Typically late October | 00:00 |
| Israel | Asia | Yes | Friday before last Sunday in March | Last Sunday in October | 02:00 |
| Saudi Arabia | Asia | No | — | — | — |
| Argentina | South America | No | — | — | — |
| Uruguay | South America | No | — | — | — |
