# Best-Selling Video Game Titles (Multi-Platform Comparison)

| Rank | Game title | Primary platform / console | Units sold (approx.) | Notes |
| --- | --- | --- | --- | --- |
| 1 | Minecraft | Multi-platform (PC/Console/Mobile) | 300+ million | Includes all platform editions |
| 2 | Grand Theft Auto V | Multi-platform (PS3/PS4/PS5, Xbox 360/One/Series, PC) | 200+ million | Cross-generation releases |
| 3 | Tetris (EA mobile/other versions) | Multi-platform | 100+ million | Excludes some early pack-ins depending on source |
| 4 | Wii Sports | Wii | 82+ million | Often bundled with Wii hardware |
| 5 | PUBG: Battlegrounds | PC / Console | 75+ million | Core game sales; free-to-play transition later |
| 6 | Mario Kart 8 / Deluxe | Wii U / Nintendo Switch | 65+ million | Deluxe on Switch drives most lifetime sales |
| 7 | Red Dead Redemption 2 | PS4 / Xbox One / PC | 60+ million | Multi-platform |
| 8 | The Elder Scrolls V: Skyrim | Multi-platform | 60+ million | Many re-releases across generations |
| 9 | The Witcher 3: Wild Hunt | Multi-platform | 50+ million | Boosted by later editions and media tie-ins |
| 10 | Animal Crossing: New Horizons | Nintendo Switch | 45+ million | Switch exclusive |
| 11 | Super Mario Bros. | NES | 40+ million | Often cited including classic cartridge sales |
| 12 | Pokémon Red / Green / Blue / Yellow | Game Boy | 45+ million | Aggregated across versions/regions |
| 13 | Call of Duty: Modern Warfare (2019) | PS4 / Xbox One / PC | 30+ million | Approximate, varies by reporting |
| 14 | Duck Hunt | NES | 28+ million | Frequently bundled with NES Zapper |
| 15 | Wii Fit / Wii Fit Plus | Wii | 43+ million | Aggregated family of titles |
| 16 | Kinect Adventures! | Xbox 360 | 24+ million | Often bundled with Kinect |
| 17 | The Legend of Zelda: Breath of the Wild | Wii U / Nintendo Switch | 32+ million | Cross-platform within Nintendo |
| 18 | Terraria | Multi-platform | 45+ million | Includes console/mobile/PC editions |
| 19 | Diablo III | PC / PS3/PS4 / Xbox 360/One / Switch | 30+ million | Includes console editions |
| 20 | World of Warcraft | PC | 14+ million (subs peak) | Not pure unit sales; subscription metric often used |
