# Succession of French Kings (House of Capet, early direct line)

| Order | Monarch (English / French) | Reign start | Reign end | Dynasty / House | Link to previous ruler (succession / family tie) |
| --- | --- | --- | --- | --- | --- |
| 1 | Hugh Capet (Hugues Capet) | 987 | 996 | Capetian | Elected king after the death of Louis V; founder of the Capetian dynasty |
| 2 | Robert II “the Pious” (Robert II le Pieux) | 996 | 1031 | Capetian | Son of Hugh Capet; associated as co-king before succeeding |
| 3 | Henry I (Henri Ier) | 1031 | 1060 | Capetian | Son of Robert II; succeeded his father |
| 4 | Philip I (Philippe Ier) | 1060 | 1108 | Capetian | Son of Henry I; succeeded as a minor under regency |
| 5 | Louis VI “the Fat” (Louis VI le Gros) | 1108 | 1137 | Capetian | Son of Philip I; succeeded his father |
| 6 | Louis VII “the Young” (Louis VII le Jeune) | 1137 | 1180 | Capetian | Son of Louis VI; became king upon his father's death |
| 7 | Philip II “Augustus” (Philippe II Auguste) | 1180 | 1223 | Capetian | Son of Louis VII; succeeded his father |
| 8 | Louis VIII “the Lion” (Louis VIII le Lion) | 1223 | 1226 | Capetian | Son of Philip II; succeeded his father |
| 9 | Louis IX “Saint Louis” (Louis IX, Saint Louis) | 1226 | 1270 | Capetian | Son of Louis VIII; succeeded as a child under regency |
| 10 | Philip III “the Bold” (Philippe III le Hardi) | 1270 | 1285 | Capetian | Son of Louis IX; succeeded his father |
| 11 | Philip IV “the Fair” (Philippe IV le Bel) | 1285 | 1314 | Capetian | Son of Philip III; succeeded his father |
