# 2009 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/club team |
| --- | --- | --- | --- |
| Adrien, Jeff Jeff Adrien | PF | United States | Connecticut (Sr.) |
| Akognon, Josh Josh Akognon | PG | United States/ Nigeria | Cal State Fullerton (Sr.) |
| Anderson, Antonio Antonio Anderson | SG | United States | Memphis (Sr.) |
| Baynes, Aron Aron Baynes | C/PF | Australia | Washington State (Sr.) |
| Christmas, Dionte Dionte Christmas | SG | United States | Temple (Sr.) |
| Cousin, Marcus Marcus Cousin | C | United States | Houston (Sr.) |
| Datome, Luigi Luigi Datome | SF | Italy | Virtus Roma ( Italy ) |
| Dentmon, Justin Justin Dentmon | PG | United States | Washington (Sr.) |
| Edwards, Shane Shane Edwards | F | United States | Arkansas–Little Rock (Sr.) |
| Faverani, Vítor Vítor Faverani | PF/C | Brazil | CB Axarquía ( Spain ) |
| Gee, Alonzo Alonzo Gee | SF/SG | United States | Alabama (Sr.) |
| Harris, Terrel Terrel Harris | G | United States | Oklahoma State (Sr.) |
| Jackson, Cedric Cedric Jackson | PG | United States | Cleveland State (Sr.) |
| Johnson, Chris Chris Johnson | C/PF | United States | LSU (Sr.) |
| Kravtsov, Viacheslav Viacheslav Kravtsov | C | Ukraine | Kyiv ( Ukraine ) |
| Landry, Marcus Marcus Landry | PF | United States | Wisconsin (Sr.) |
| Matthews, Wesley Wesley Matthews | SG/SF | United States | Marquette (Sr.) |
| McNeal, Jerel Jerel McNeal | PG/SG | United States | Marquette (Sr.) |
| Mekel, Gal Gal Mekel | PG | Israel | Wichita State (So.) |
| Pargo, Jeremy Jeremy Pargo | PG | United States | Gonzaga (Sr.) |
| Siler, Garret Garret Siler | C | United States | Augusta State (Sr.) |
| Temple, Garrett Garrett Temple | G | United States | LSU (Sr.) |
| Zeller, Luke Luke Zeller | F/C | United States | Notre Dame (Sr.) |
