# Adobe Fonts (Typefaces) Catalog Snapshot

| Typeface family | Classification | Designer | Included with |
| --- | --- | --- | --- |
| Adobe Garamond Pro | Old-style serif | Robert Slimbach | Adobe Fonts subscription |
| Adobe Jenson Pro | Old-style serif | Robert Slimbach | Adobe Fonts subscription |
| Myriad Pro | Humanist sans | Carol Twombly, Robert Slimbach | Creative Cloud (Fonts) |
| Minion Pro | Old-style serif | Robert Slimbach | Creative Cloud (Fonts) |
| Source Sans 3 | Sans | Paul D. Hunt | Adobe Fonts / Open source |
| Source Serif 4 | Serif | Frank Grießhammer | Adobe Fonts / Open source |
| Source Code Pro | Monospace | Paul D. Hunt | Adobe Fonts / Open source |
| Trajan Pro | Display serif | Carol Twombly | Adobe Fonts subscription |
| Warnock Pro | Serif | Robert Slimbach | Adobe Fonts subscription |
