# Ust - Yansky District
> Inhabited localities

| Urban settlements | Population | Male | Female | Inhabited localities in jurisdiction |
| --- | --- | --- | --- | --- |
| Deputatsky ( Депутатский ) | 2983 | 1447 (48.5%) | 1536 (51.5%) | urban-type settlement of Deputatsky (administrative center of the district) |
| Nizhneyansk ( Нижнеянск ) | 391 | 208 (53.2%) | 183 (46.8%) | urban-type settlement of Nizhneyansk |
| Ust-Kuyga ( Усть-Куйга ) | 979 | 516 (52.7%) | 463 (47.3%) | urban-type settlement of Ust-Kuyga |
| Rural settlements | Population | Male | Female | Rural localities in jurisdiction* |
| Kazachinsky National Nasleg ( Казачинский национальный наслег ) | 1367 | 665 (48.6%) | 702 (51.4%) | selo of Kazachye |
| Omoloysysky National Nasleg ( Омолойский национальный наслег ) | 433 | 223 (51.5%) | 210 (48.5%) | selo of Khayyr |
| Silyannyakhsky National Nasleg ( Силянняхский национальный наслег ) | 771 | 377 (48.9%) | 394 (51.1%) | selo of Sayylyk |
| Tumatsky National Nasleg ( Туматский национальный наслег ) | 533 | 286 (53.7%) | 247 (46.3%) | selo of Tumat |
| Ust-Yansky National Nasleg ( Усть-Янский национальный наслег ) | 317 | 166 (52.4%) | 151 (47.6%) | selo of Ust-Yansk |
| Uyandinsky National Nasleg ( Уяндинский национальный наслег ) | 154 | 84 (54.5%) | 70 (45.5%) | selo of Uyandi |
| Yukagir National (Nomadic) Nasleg ( Юкагирский национальный кочевой наслег ) | 128 | 67 (52.3%) | 61 (47.7%) | selo of Yukagir |
