# 2016 NFL Draft Top Prospects by Position (Tiered Overview)

| Tier | Player | Position | Notes |
|---|---|---|---|
| Tier 1 | Ezekiel Elliott | RB | Immediate starter |
| Tier 1 | Laremy Tunsil | OT | Franchise tackle |
| Tier 1 | Jalen Ramsey | CB | Elite athlete |
| Tier 1 | Joey Bosa | DE | Power rusher |
| Tier 2 | Derrick Henry | RB | Size/speed back |
| Tier 2 | Carson Wentz | QB | High-upside passer |
| Tier 2 | Myles Jack | LB | Versatile defender |
| Tier 2 | Laquon Treadwell | WR | Physical target |
| Tier 3 | Devontae Booker | RB | Three-down traits |
| Tier 3 | Jared Goff | QB | Accurate distributor |
| Tier 3 | Ronnie Stanley | OT | Pass protector |
| Tier 3 | Vernon Hargreaves III | CB | Quick cover man |
