# Super Smash Bros. Melee — Unlockables Checklist (Fighters, Trophies, Events, Music)

| Item | Item Type | Requirement | Progress Metric |
| --- | --- | --- | --- |
| Luigi | Fighter | Play VS matches | 800 VS matches |
| Dr. Mario | Fighter | Play VS matches | 100 VS matches |
| Falco | Fighter | Play VS matches | 300 VS matches |
| Ganondorf | Fighter | Play VS matches | 600 VS matches |
| Jigglypuff | Fighter | Play VS matches | 50 VS matches |
| Final Destination Trophy | Trophy | Clear Event 51 | Event completion |
| Celebi Trophy | Trophy | See Celebi from Poké Ball | Random encounter |
| Brinstar Depths | Stage | Play VS matches | 150 VS matches |
| "Multi-Man Melee" Music Track | Music | Clear 100-Man Melee | Mode completion |
| Event Match 51 | Event | Beat the final event | Event completion |
