# London Station Amenities Comparison (Facilities-focused, not passenger demand)

| Station | Toilets | Ticket office | Retail / food count (approx.) | Bike parking | Wi‑Fi | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Waterloo | Yes | Yes | High | Yes | Yes | Large concourse |
| Victoria | Yes | Yes | High | Yes | Yes | Two main concourses |
| Liverpool Street | Yes | Yes | High | Yes | Yes | Connected shopping |
| London Bridge | Yes | Yes | Medium | Yes | Yes | Modernised hall |
| King's Cross | Yes | Yes | High | Yes | Yes | Retail-heavy |
| Paddington | Yes | Yes | Medium | Yes | Yes | Heathrow connections |
| Euston | Yes | Yes | Medium | Limited | Yes | Major terminus |
| Stratford | Yes | Yes | High | Yes | Yes | Adjacent mall |
| Bank / Monument | Limited | No | Low | No | No | Interchange complex |
| Oxford Circus | No | No | Medium | No | No | Busy shopping area |
