# Need for Speed franchise — era-by-era release catalog (2004–2022)

| Era | Release year | Title |
|---|---:|---|
| Black Box era (street/arcade focus) | 2004 | Need for Speed: Underground 2 |
| Black Box era (street/arcade focus) | 2005 | Need for Speed: Most Wanted |
| Black Box era (street/arcade focus) | 2006 | Need for Speed: Carbon |
| Transitional/experiments | 2007 | Need for Speed: ProStreet |
| Transitional/experiments | 2008 | Need for Speed: Undercover |
| Shift sub-series (sim-leaning) | 2009 | Need for Speed: Shift |
| Reboot/online & revival | 2010 | Need for Speed: Hot Pursuit |
| Reboot/online & revival | 2011 | Need for Speed: The Run |
| Reboot/modern era | 2013 | Need for Speed Rivals |
| Reboot/modern era | 2015 | Need for Speed |
| Reboot/modern era | 2017 | Need for Speed Payback |
| Reboot/modern era | 2019 | Need for Speed Heat |
| Current era | 2022 | Need for Speed Unbound |
