# Europe  Capital Punishment Overview by Country — Current Status, Moratorium, and International Commitments

| Country | Current status (as of recent years) | Moratorium / de facto practice | Last known execution year | Legal basis for abolition / retention | Council of Europe membership | Notes for comparison |
| --- | --- | --- | --- | --- | --- | --- |
| Belarus | Retains and uses | No moratorium | 2010s (reported) | Criminal code allows death penalty for certain crimes | No | Only country in geographic Europe widely reported to still carry out executions |
| Russia | Retains in law | Yes (long-standing moratorium) | 1990s | Death penalty remains in statutes; constitutional court-linked moratorium | Suspended/left | Legal retention vs. practical non-use distinction important |
| Armenia | Abolished | Not applicable | 1990s | Abolished through criminal-law reform | Yes | Fully abolished; aligns with European human-rights standards |
| Azerbaijan | Abolished | Not applicable | 1990s | Abolished by legislation | Yes | Abolition completed during legal harmonization period |
| Georgia | Abolished | Not applicable | 1990s | Abolished via reforms to criminal law | Yes | No wartime exception in ordinary criminal law |
| Turkey | Abolished | Not applicable | 1980s | Abolished in law as part of EU-alignment reforms | Yes | Not used for decades before legal abolition |
| United Kingdom | Abolished | Not applicable | 1960s | Abolished by acts of Parliament; later extended to all offenses | Yes | Clear example of staged abolition (murder first, then all crimes) |
| Andorra | Abolished | Not applicable | N/A | Constitution prohibits | Yes | Constitutional prohibition (strong legal entrenchment) |
| Monaco | Abolished | Not applicable | 1800s | Statutory abolition | Yes | Long period of non-use prior to formal abolition |
| San Marino | Abolished | Not applicable | 1400s | Abolished by law (historic) | Yes | Often cited among earliest abolitions |
| Liechtenstein | Abolished | Not applicable | 1700s | Abolished by legislation | Yes | Microstate example; full abolition |
| Kosovo | Abolished (in practice and law) | Not applicable | N/A | Constitutional/penal code framework prohibits | Partly recognized | Included for regional comparison; status depends on recognition context |
| Vatican City | Abolished | Not applicable | 1800s | Penal provisions removed; no death penalty in force | No | Non-CoE micro-jurisdiction; included for completeness in Europe-wide scans |
