# Spine MRI CPT codes (cervical thoracic lumbar) by contrast usage

| Spine exam | CPT code | Contrast detail |
| --- | --- | --- |
| MRI Cervical Spine | 72141 | without contrast |
| MRI Cervical Spine | 72142 | with contrast |
| MRI Cervical Spine | 72156 | with and without contrast |
| MRI Thoracic Spine | 72146 | without contrast |
| MRI Thoracic Spine | 72147 | with contrast |
| MRI Thoracic Spine | 72157 | with and without contrast |
| MRI Lumbar Spine | 72148 | without contrast |
| MRI Lumbar Spine | 72149 | with contrast |
| MRI Lumbar Spine | 72158 | with and without contrast |
