# Outlook.com Mailbox Setup Checklist (Form Steps and UI Options)

| Step | Screen/Section | Field or toggle | Recommended choice | Why it matters |
| --- | --- | --- | --- | --- |
| 1 | Add account | Choose provider | Outlook.com / Exchange | Enables automatic discovery |
| 2 | Sign-in | Email | yourname@outlook.com | Identifies the account |
| 3 | Sign-in | Password | (enter password) | Authentication |
| 4 | Security | Two-step verification | Turn on | Improves protection |
| 5 | Privacy | Allow app access | Allow | Needed for client connectivity |
| 6 | Sync | Mail days to sync | 30 days | Controls local cache |
| 7 | Notifications | New mail alerts | On | Optional usability setting |
| 8 | Appearance | Theme | Any | No effect on delivery |
| 9 | Storage | Auto-archive | Off | Optional housekeeping |
