# Credit Card Debt Collection Statutes of Limitation by State (Selected States)

| State | Credit card (open account) SOL | Written contract SOL | Judgment enforcement period | Key consumer-debt note |
|---|---:|---:|---:|---|
| Alabama | 3 years | 6 years | 10 years | Partial payment may restart clock |
| Alaska | 3 years | 3 years | 10 years | Varies by contract type |
| Arizona | 6 years | 6 years | 5 years | Applies to consumer accounts |
| Arkansas | 5 years | 5 years | 10 years | Different for oral vs written |
| California | 4 years | 4 years | 10 years | Commonly cited for credit cards |
| Colorado | 6 years | 6 years | 6 years | Some debts treated as written |
| Connecticut | 6 years | 6 years | 20 years | Judgment renewal rules apply |
| Delaware | 3 years | 3 years | 10 years | Often used by issuers |
| Florida | 4 years | 5 years | 20 years | Credit cards as open accounts |
| Georgia | 4 years | 6 years | 7 years | Distinguishes open vs written |
| Hawaii | 6 years | 6 years | 10 years | Consumer collection timelines |
| Illinois | 5 years | 10 years | 7 years | Longer if written contract |
| Indiana | 6 years | 10 years | 20 years | Contract classification matters |
