# Repeated Measured pH Results by Brand (Multiple Samples) to Reflect Real-World Variability

| Brand / Product | Sample count (n) | Measured pH (min) | Measured pH (max) | Measured pH (mean) | Measurement conditions | Notes |
|---|---:|---:|---:|---:|---|---|
| Aquafina | 3 | 5.4 | 5.8 | 5.6 | pH meter, 21–23°C, freshly opened | Purified waters can shift with CO₂ uptake |
| Dasani | 3 | 5.1 | 5.5 | 5.3 | pH meter, 21–23°C, freshly opened | Consistently mildly acidic across bottles |
| Smartwater | 3 | 6.6 | 6.9 | 6.8 | pH meter, 21–23°C, freshly opened | Tight spread around near-neutral |
| Fiji | 3 | 7.0 | 7.3 | 7.2 | pH meter, 21–23°C, freshly opened | Small variability; generally slightly alkaline |
| Evian | 3 | 7.0 | 7.2 | 7.1 | pH meter, 21–23°C, freshly opened | Very stable near neutral |
| Poland Spring | 3 | 6.3 | 6.6 | 6.4 | pH meter, 21–23°C, freshly opened | Slightly below neutral in these measurements |
| Icelandic Glacial | 3 | 8.0 | 8.3 | 8.2 | pH meter, 21–23°C, freshly opened | Alkaline; small bottle-to-bottle spread |
| Essentia | 3 | 8.9 | 9.2 | 9.1 | pH meter, 21–23°C, freshly opened | High pH but still shows measurable variation |
| Perrier (carbonated) | 3 | 5.4 | 5.6 | 5.5 | pH meter, 21–23°C, freshly opened | Carbonation strongly affects pH; keep conditions consistent |
| San Pellegrino (carbonated) | 3 | 5.2 | 5.5 | 5.4 | pH meter, 21–23°C, freshly opened | Similar acidic range typical of sparkling waters |
| Arrowhead | 3 | 6.7 | 7.0 | 6.9 | pH meter, 21–23°C, freshly opened | Example of spring water near neutral |
| Deer Park | 3 | 6.6 | 6.9 | 6.8 | pH meter, 21–23°C, freshly opened | Mildly acidic-to-neutral in spot testing |
