# U.S. State Seat Belt Law Enforcement Classification (Selected States)

| Region | State | Enforcement classification | Notes on enforcement scope |
| --- | --- | --- | --- |
| West | California | Primary enforcement | Officers may stop a vehicle solely for a seat belt violation |
| West | Oregon | Primary enforcement | Primary seat belt enforcement statewide |
| West | Arizona | Primary enforcement | Primary enforcement for seat belt use |
| Midwest | Illinois | Primary enforcement | Primary enforcement for front seat belt compliance |
| Midwest | Ohio | Secondary enforcement | Seat belt citation typically requires another stop reason |
| South | Texas | Primary enforcement | Primary enforcement for most occupants |
| South | Florida | Primary enforcement | Primary enforcement for front-seat occupants (classification: primary) |
| Northeast | New York | Primary enforcement | Primary enforcement for seat belt law |
| Northeast | New Hampshire | No adult seat belt law | No statewide adult seat belt requirement; enforcement classification not applicable |
| Northeast | Massachusetts | Secondary enforcement | Seat belt enforcement categorized as secondary |
