# Selected Byzantine Empresses and Augustae (4th–6th centuries)

| Name | Title at court | Date named / proclaimed | Connection to reigning emperor | Spouse / family link | Notes |
|---|---|---|---|---|---|
| Aelia Flaccilla | Augusta (empress-consort) | 383 | Wife of Theodosius I | Married Theodosius I | Mother of Arcadius and Honorius; early Theodosian Augusta |
| Aelia Eudoxia | Augusta (empress-consort) | 400 | Wife of Arcadius | Married Arcadius | Influential at court; mother of Theodosius II |
| Aelia Pulcheria | Augusta (empress-regent) | 414 | Sister of Theodosius II; acted as regent | Vow of virginity (no spouse) | Led the court during Theodosius II’s minority; later elevated Marcian |
| Aelia Eudocia | Augusta (empress-consort) | 423 | Wife of Theodosius II | Married Theodosius II | Known for patronage and religious activity; later lived in Jerusalem |
| Licinia Eudoxia | Augusta (empress-consort) | 437 | Wife of Valentinian III (Western emperor) | Married Valentinian III; daughter of Theodosius II | Included due to dynastic Theodosian court ties across East/West |
| Aelia Verina | Augusta (empress-consort) | c. 457 | Wife of Leo I | Married Leo I | Mother of Ariadne; key figure in succession politics |
| Ariadne | Augusta (empress-consort) | 474 | Wife of Zeno; later wife of Anastasius I | Married Zeno; later married Anastasius I | Linked two reigns; central to transitions in 474 and 491 |
| Euphemia (formerly Lupicina) | Augusta (empress-consort) | 518 | Wife of Justin I | Married Justin I | Formerly of low status; elevation marked Justin’s accession |
| Theodora | Augusta (empress-consort) | 527 | Wife of Justinian I | Married Justinian I | Major political partner in Justinian’s reign; prominent court role |
| Sophia | Augusta (empress-consort) | 565 | Wife of Justin II | Married Justin II; niece of Theodora (traditionally) | Active in diplomacy and court management during Justin II’s reign |
