# Peer-to-Peer Lending Eligibility Checklist by Platform (Criteria Mix, Not Score-Only Minimum Cutoffs)

| Platform | Eligibility Factors Listed | Income/Employment Requirement | Debt-to-Income Mentioned | Credit History Length Mentioned | Minimum Credit Score | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| LendingClub | ID, income verification, bank account | Yes (verify) | Yes | Yes | Varies by state/program | No single published cutoff |
| Prosper | ID, income, bank account | Yes (verify) | Yes | Yes | Not publicly stated | Uses multiple borrower attributes |
| Upstart | ID, income, education/employment | Yes (verify) | Yes | Yes | No fixed minimum disclosed | Alternative data emphasized |
| SoFi | ID, income, bank account | Yes (verify) | Yes | Yes | Not stated; depends on product | Often targets strong profiles |
| Avant | ID, income, bank account | Yes | Yes | Limited | Depends on underwriting | Marketed to near-prime |
| Upgrade | ID, income, bank account | Yes | Yes | Yes | Not listed as a hard cutoff | Rates depend on profile |
| Peerform | ID, income, bank account | Yes | Yes | Yes | Unpublished | Uses internal risk grades |
| Funding Circle (Business) | business docs, revenue, time in business | Yes (business revenue) | N/A | N/A | Not applicable (business focus) | Not a consumer score cutoff |
| Kiva (Crowdfunded) | profile review, community backing | No traditional verification | No | No | null (no credit check) | Not based on credit score |
| LendingPoint | ID, income, bank account | Yes | Yes | Yes | Not disclosed | Focus on broader eligibility |
