# 2007 Chase for the Nextel Cup
> Races

| Date | Race | Track | 2006 winner | 2007 winner | Car |
| --- | --- | --- | --- | --- | --- |
| September 16 | Sylvania 300 | New Hampshire Motor Speedway Loudon, New Hampshire | Kevin Harvick | Clint Bowyer | CoT |
| September 23 | Dodge Dealers 400 | Dover International Speedway Dover, Delaware | Jeff Burton | Carl Edwards | CoT |
| September 30 | LifeLock 400 | Kansas Speedway Kansas City, Kansas | Tony Stewart ≠ | Greg Biffle | S |
| October 7 | UAW Ford 500 | Talladega Superspeedway Talladega, Alabama | Brian Vickers ≠ | Jeff Gordon | CoT |
| October 13 | Bank of America 500 | Lowe's Motor Speedway Concord, North Carolina | Kasey Kahne | Jeff Gordon | S |
| October 21 | Subway 500 | Martinsville Speedway Martinsville, Virginia | Jimmie Johnson | Jimmie Johnson | CoT |
| October 28 | Pep Boys Auto 500 | Atlanta Motor Speedway Hampton, Georgia | Tony Stewart≠ | Jimmie Johnson | S |
| November 4 | Dickies 500 | Texas Motor Speedway Justin, Texas | Tony Stewart≠ | Jimmie Johnson | S |
| November 11 | Checker Auto Parts 500 | Phoenix International Raceway Avondale, Arizona | Kevin Harvick | Jimmie Johnson | CoT |
| November 18 | Ford 400 | Homestead-Miami Speedway Homestead, Florida | Greg Biffle ≠ | Matt Kenseth | S |
