# Fallout 4 Factions and Headquarters (Key Characters & Entry Requirements)

| Faction | Main Headquarters | Key NPC | How to Join | Typical Rewards |
| --- | --- | --- | --- | --- |
| Minutemen | The Castle / Sanctuary Hills | Preston Garvey | Complete "When Freedom Calls" | Settlement flare gun access |
| Brotherhood of Steel | The Prydwen (Boston Airport) | Elder Maxson | Finish "Reunions" then meet at Cambridge | Power armor support, Vertibirds |
| Railroad | Old North Church (Boston) | Desdemona | Follow the Freedom Trail | Ballistic Weave (via PAM quests) |
| The Institute | The Institute | Father | Progress main story to teleport in | Synth relay grenades |
| Atom Cats | Atom Cats Garage | Zeke | Visit after hearing rumors | Power armor paint jobs |
| The Silver Shroud (Radio) | Goodneighbor | Kent Connolly | Listen to Silver Shroud radio | Costume-themed questline |
| Children of Atom (Far Harbor) | The Nucleus | High Confessor Tektus | DLC progression | Radiation-themed gear |
| Nuka-World Raiders | Nuka-World | Overboss | Travel to Nuka-World Transit Center | Raider outposts |
| The Gunners | Various checkpoints | Various | Not joinable | Combat encounters, contracts |
| Diamond City Security | Diamond City | Danny Sullivan | Not joinable | City access, quests |
