# Goa District and Subdivision List (No Locality-Level PIN Codes)

| District | Subdivision | Headquarters | State |
| --- | --- | --- | --- |
| North Goa | Bardez | Mapusa | Goa |
| North Goa | Tiswadi | Panaji | Goa |
| North Goa | Bicholim | Bicholim | Goa |
| North Goa | Pernem | Pernem | Goa |
| South Goa | Salcete | Margao | Goa |
| South Goa | Mormugao | Vasco da Gama | Goa |
| South Goa | Quepem | Quepem | Goa |
| South Goa | Sanguem | Sanguem | Goa |
| South Goa | Canacona | Canacona | Goa |
