# Most Subscribed YouTube Channels (Global) — Ranked List with Owners

| Rank | Channel name | Subscribers (millions) | Owner / Operator | Primary content |
| ---: | --- | ---: | --- | --- |
| 1 | T-Series | 260.0 | Super Cassettes Industries Pvt. Ltd. | Music (India) |
| 2 | MrBeast | 235.0 | Jimmy Donaldson | Entertainment / Challenges |
| 3 | Cocomelon – Nursery Rhymes | 175.0 | Moonbug Entertainment | Kids / Nursery rhymes |
| 4 | SET India | 170.0 | Sony Pictures Networks India | TV / Entertainment |
| 5 | Kids Diana Show | 120.0 | Diana & family (managed brand) | Kids / Family |
| 6 | Like Nastya | 112.0 | Nastya Radzinskaya (managed brand) | Kids / Family |
| 7 | WWE | 105.0 | World Wrestling Entertainment | Sports / Wrestling |
| 8 | Zee Music Company | 104.0 | Zee Entertainment Enterprises | Music |
| 9 | Vlad and Niki | 100.0 | Vlad & Nikita Vashketov (managed brand) | Kids / Family |
| 10 | BLACKPINK | 94.0 | YG Entertainment | Music |
| 11 | Sony SAB | 91.0 | Sony Pictures Networks India | TV / Comedy |
| 12 | 5-Minute Crafts | 80.0 | TheSoul Publishing | DIY / How-to |
| 13 | HYBE LABELS | 75.0 | HYBE Corporation | Music |
| 14 | Justin Bieber | 73.0 | Justin Bieber / Team | Music |
| 15 | EminemMusic | 61.0 | Marshall Mathers / Team | Music |
