# Adobe Creative Cloud  Desktop Apps and Utilities (Download Channels)

| Category | Item | Distribution / Availability | Notes |
| --- | --- | --- | --- |
| Photo | Photoshop | Creative Cloud (subscription), Standalone package | Includes Camera Raw updates via CC |
| Photo | Lightroom | Creative Cloud (subscription), Standalone package | Photography plan bundles available |
| Design | Illustrator | Creative Cloud (subscription), Standalone package | Vector design tool |
| Layout | InDesign | Creative Cloud (subscription) | Often bundled in CC All Apps |
| Video | Premiere Pro | Creative Cloud (subscription) | Pro video editor |
| Video | After Effects | Creative Cloud (subscription) | Motion graphics and VFX |
| Web | Dreamweaver | Creative Cloud (subscription), Standalone package | Web authoring |
| Utilities | Adobe Fonts | Creative Cloud (subscription) | Font library/service (not a single software product) |
| Utilities | Acrobat online services | Web/Standalone | PDF services, not a discrete desktop app |
| Utilities | Creative Cloud Libraries | Creative Cloud | Asset sync feature rather than a product |
| Utilities | Creative Cloud Desktop | Creative Cloud | Installer/manager app |
| Add-ons | Stock (plugin panels) | Creative Cloud + paid add-on | Service/add-on rather than product software |
