# List of The Ring world champions
> Heavyweight

| Number | Champion | Reign |
| --- | --- | --- |
| 1 | Jack Dempsey | 1922 - September 23, 1926 |
| 2 | Gene Tunney | September 23, 1926 – July 31, 1928 (retired) |
| 3 | Max Schmeling (defeated Jack Sharkey ) | June 12, 1930 – June 21, 1932 |
| 4 | Jack Sharkey | June 21, 1932 – June 29, 1933 |
| 5 | Primo Carnera | June 29, 1933 – June 14, 1934 |
| 6 | Max Baer | June 14, 1934 – June 13, 1935 |
| 7 | James J. Braddock | June 13, 1935 – June 22, 1937 |
| 8 | Joe Louis | June 22, 1937 – March 1, 1949 (retired) |
| 9 | Ezzard Charles | September 27, 1950 – July 18, 1951 |
| 10 | Jersey Joe Walcott | July 18, 1951 – September 23, 1952 |
| 11 | Rocky Marciano | September 23, 1952 – April 27, 1956 (retired) |
| 12 | Floyd Patterson (defeated Archie Moore ) | November 30, 1956 – June 26, 1959 |
| 13 | Ingemar Johansson | June 26, 1959 – June 20, 1960 |
| 14 | Floyd Patterson | June 20, 1960 – September 25, 1962 |
| 15 | Sonny Liston | September 25, 1962 – February 25, 1964 |
| 16 | Muhammad Ali | February 25, 1964 – February 3, 1971 (retired) |
| 17 | Joe Frazier | March 8, 1971 – January 22, 1973 |
| 18 | George Foreman | January 22, 1973 – October 30, 1974 |
| 19 | Muhammad Ali | October 30, 1974 – February 15, 1978 |
| 20 | Leon Spinks | February 15, 1978 – September 15, 1978 |
| 21 | Muhammad Ali | September 15, 1978 – September 6, 1979 (retired) |
| 22 | Larry Holmes | October 2, 1980 – September 21, 1985 |
| 23 | Michael Spinks | September 21, 1985 – June 27, 1988 |
| 24 | Mike Tyson | June 27, 1988 (new ownership discontinued championship policy during Tyson's reign) |
| 25 | Lennox Lewis | 2002 - February 6, 2004 (Retired) |
| 26 | Vitali Klitschko (defeated Corrie Sanders ) | April 24, 2004 – November 9, 2005 (retired) |
| 27 | Wladimir Klitschko (defeated Ruslan Chagaev ) | June 20, 2009 – November 28, 2015 |
| 28 | Tyson Fury | November 28, 2015 – Present |
