# List of Chinese - language radio stations
> Americas

| Channel | Mod | Frequency | Language | Features | Notes |
| --- | --- | --- | --- | --- | --- |
| AM 1320 Vancouver | AM | 1320 kHz | Cantonese and Mandarin | news , information, phone-in programmes, and general programming | multicultural broadcasting since 1973 and owned by Mainstream Broadcasting Corporation |
| Fairchild Radio AM 1470 Vancouver | AM | 1470 kHz | Cantonese and Mandarin | news /traffic, music , information, phone-in programmes, and general programming | multicultural station owned by Fairchild Group |
| Fairchild Radio FM 96.1 Vancouver | FM | 96.1 MHz | Mandarin and Cantonese | news /traffic, music , information, phone-in programmes, and general programming | multicultural station owned by Fairchild Group |
| Fairchild Radio FM 94.7 Calgary | FM | 94.7 MHz | Cantonese and Mandarin | news /traffic, music , information, phone-in programmes, and general programming | multicultural station owned by Fairchild Group |
| 101.7 World FM Edmonton | FM | 101.7 MHz | Mandarin and Cantonese | news , music , information, and general programming | multicultural station owned by Rogers Media |
| Fairchild Radio AM 1430 Toronto | AM | 1430 kHz | Cantonese and Mandarin | news /traffic, music , information, phone-in programmes, and general programming | multicultural station owned by Fairchild Group |
| A1 Chinese Radio AM 1540 Toronto | AM | 1540 kHz | Cantonese and Mandarin | news , information, phone-in programmes, and general programming | multicultural station owned by CHIN Radio/TV International ; Chinese broadcast jointly owned by Sing Tao Daily (Toronto) and Fairchild Radio |
| Fairchild Radio FM 88.9 Toronto | FM | 88.9 MHz | Cantonese and Mandarin | news /traffic, music , information, phone-in programmes, and general programming | multicultural station owned by Fairchild Group |
| Canadian Chinese Radio North York, Ontario | FM ( SCMO ) | subcarried on 99.9 MHz | Cantonese and Mandarin | 24 Hour Chinese programming | private broadcaster since 1988, need special radio with SCMO function to listen |
| WOW 1 Radio FM 105.9 Markham | FM | 105.9 MHz | Mandarin | news /traffic, music , information, phone-in programmes, and general programming | They promised to air Cantonese program on Saturday 1-2pm, but they didn't made it since they start broadcasting. |
| AM 1280 Montreal | AM | 1280 kHz | Mandarin | news , information, general programming | Canada's First Multicultural Broadcast |
| Radio Centre-ville 102,3 FM Montreal | FM | 102.3 MHz | Mandarin | news , information, general programming | used to have Cantonese program |
