# State-Level Household Debt Burden (Consumer Credit) by State

| State | Avg household credit card balance | Avg auto loan balance | Avg student loan balance | Debt-to-income (estimate) | Data scope |
|---|---:|---:|---:|---:|---|
| California | $8,900 | $24,500 | $38,200 | 0.26 | Consumer households |
| Texas | $7,600 | $26,100 | $33,400 | 0.24 | Consumer households |
| Florida | $7,900 | $25,200 | $32,800 | 0.27 | Consumer households |
| New York | $9,300 | $22,700 | $41,100 | 0.28 | Consumer households |
| Illinois | $8,100 | $23,900 | $39,500 | 0.25 | Consumer households |
| Ohio | $6,400 | $21,800 | $31,600 | 0.22 | Consumer households |
| Georgia | $7,200 | $24,300 | $34,900 | 0.25 | Consumer households |
| Washington | $8,700 | $25,000 | $37,400 | 0.27 | Consumer households |
| Arizona | $7,000 | $23,600 | $30,800 | 0.24 | Consumer households |
| Colorado | $8,500 | $24,900 | $36,200 | 0.26 | Consumer households |
| Nevada | $7,300 | $24,100 | $29,700 | 0.28 | Consumer households |
| Oregon | $7,800 | $23,400 | $33,900 | 0.25 | Consumer households |
