# Side-by-Side GI vs GL for Typical Portions (Including Carb Basis for Portion-Aware Comparison)

| Meal context | Food item | Typical serving (household) | Serving size (g) | Glycemic index (GI) | Net carbs per serving (g) | Glycemic load (GL) |
| --- | --- | --- | ---: | ---: | ---: | ---: |
| Breakfast | Cornflakes cereal | 1 cup | 30 | 81 | 25 | 20 |
| Breakfast | Whole-grain bread | 1 slice | 38 | 52 | 18 | 9 |
| Breakfast | Orange (whole) | 1 medium | 131 | 43 | 15 | 6 |
| Lunch | White rice (cooked) | 1 cup | 158 | 73 | 45 | 33 |
| Lunch | Quinoa (cooked) | 1 cup | 185 | 53 | 34 | 18 |
| Lunch | Chickpeas (cooked) | 1/2 cup | 82 | 28 | 18 | 5 |
| Dinner | Sweet potato (baked) | 1 medium | 130 | 63 | 26 | 16 |
| Dinner | Carrots (cooked) | 1/2 cup | 78 | 39 | 6 | 2 |
| Snack | Watermelon | 1 cup diced | 152 | 72 | 12 | 9 |
| Snack | Ice cream (regular) | 1/2 cup | 66 | 57 | 15 | 9 |
