# List of Coronation Street home video releases
> Network releases

| Year | Released | Episodes |
| --- | --- | --- |
| 1970 | 25 Jul 2005 | Ena Sharples and Minnie Caldwell ask Cyril Turpin to help get Albert Tatlock out of his house but they did not realise that he would do it by breaking into the place. Bill Gregory tells Elsie Tanner that Phyllis is dead and he is buying a bar in Portugal. He asks her to marry him. Elsie marries Alan Howard . Ray Langton has an affair with Audrey Fleming . Joe Donnelli confesses his role in Steve Tanner 's murder to Irma Barlow , and his downward spiral leads to a dramatic Christmas showdown with her father Stan Ogden and Minnie. |
| 1971 | 25 Jul 2005 | The maisonettes burn down after Valerie electrocutes herself the night before she and Ken are to leave for Jamaica; Stan Ogden finds out that Ray Langton was the one who got him nearly sacked at the Yard; Ray pretends Irma is his French girlfriend on a business date, which backfires when the girlfriend of Ray's partner is actually French; Emily Nugent gets drunk after trying to pick the best wine in a Street contest; Emily and Ernest Bishop get engaged; Annie Walker and Ernest celebrate their birthdays, and Ernest gives Emily her engagement ring. Ena Sharples refuses to go to Blackpool with Minnie Caldwell and Dave, causing Minnie to call Ena a bigot. When Annie leaves for a day, Lucille Hewitt and Bet Lynch go-go dance on top of the bar for the regulars. |
| 1972 | 19 Sep 2005 | Emily Nugent and Ernest Bishop 's wedding; Billy attempts to sell The Rovers behind his mother Annie 's back; Len Fairclough , Elsie Tanner and Rita Sullivan enjoy a night on the town; Stan Ogden is accused of peeping on ladies undressing; Alf Roberts ' feelings for Maggie Cooke are complicated after the death of his wife; Stan drinks in the pub Olympics despite having alcohol poisoning ; Rita gets into a fight at the Capricorn after a woman calls her a bitch; Elsie realises that Alan is developing an addiction to alcohol as the residents perform a Christmas show in the Select. |
| 1973 | 19 Sep 2005 | Bet Lynch is found bleeding and unconscious in the street. |
| 1974 | 7 Nov 2005 | Cyril Turpin passes away and Betty is confused with grief, Bet Lynch and Hilda Ogden have a big row in the street over a purchase of Betty's sideboard . |
| 1975 | 7 Nov 2005 | A couple of men try to rob The Rovers which later causes Annie Walker to fall down the stairs. |
| 1976 | 16 Jan 2006 | A man attempts to keep Gail Potter hostage in her flat until Emily Bishop and Tricia Hopkins call the police and have the man arrested; Stan Ogden attempts to hide his unlicensed TV and breaks it, just as Hilda returns home with the licence; Stan and Albert Tatlock are locked in The Rovers cellar and have free drinks; The gossip on the Street is that Deirdre Langton is pregnant — until she sets the busybodies straight; Ernest and Emily's financial troubles are exacerbated when he is refused a loan by the bank; Ernest agrees to play musical accompaniment to a stripper and Emily walks in whilst she is practising her routine; Len Fairclough threatens to give Rita Sullivan the sack and she hits him, knocking him unconscious; Handel returns to the Street and informs Ena Sharples that Minnie Caldwell will be living at Whaley Bridge permanently, whilst Hilda curses her husband and their miserable lives after finding that Stan stole part of the Christmas money. |
| 1977 | 16 Jan 2006 | Ken Barlow finds his wife Janet dead in bed after she takes an overdose of pills, Gail Potter and Suzie Birchall plan to clean the chimney for Elsie Tanner but end up cleaning out the wrong one and the Ogdens' end up having their living room and themselves covered in black soot. The jubilee celebrations come to a halt when the lorry won't start after Stan had left the lights on all night. |
| 1978 | 6 Mar 2006 | Ernest Bishop is shot and killed, Suzie Birchall puts her foot through the Ogdens' ceiling after attempting to get rid of pigeons, Ray Langton leaves for Holland. |
| 1979 | 6 Mar 2006 | Despite Eddie's well-meaning help, a rat in the café causes Gail Potter distress and Emily Bishop 's customers, and whilst Annie Walker and Deirdre Langton are discussing knitting patterns in the back room, a lorry crashes into The Rovers (and presumably a pram carrying little Tracy ); Fred buys a toupée and Albert Tatlock says he looks daft, and Alf lashes out at Annie as a result of his injuries following the lorry crash; Gail marries Brian Tilsley |
