# Leftover Safety Guide  Cooked Foods (Refrigerator Storage Only)

| Cooked item | Prep state | Refrigerator (40°F / 4°C) | Notes |
|---|---|---|---|
| Cooked chicken pieces | Fully cooked | 3–4 days | Store in shallow containers |
| Cooked ground beef | Fully cooked | 3–4 days | Reheat to 165°F |
| Cooked fish | Fully cooked | 3–4 days | Best quality sooner |
| Cooked pasta | Plain | 3–5 days | Toss with a little oil to reduce sticking |
| Cooked rice | Plain | 3–4 days | Cool quickly; risk of Bacillus cereus |
| Cooked vegetables | Roasted/steamed | 3–5 days | Keep airtight |
| Soup or stew | Cooked | 3–4 days | Cool before refrigerating |
| Pizza slices | Cooked | 3–4 days | Wrap tightly |
| Cooked beans/lentils | Cooked | 3–5 days | Keep covered |
| Cooked eggs (hard-boiled) | Peeled/unpeeled | 1 week | Store in shell if possible |
