# Example University Term Dates  Trimester Teaching Periods and Holidays (2025–2026)

| Category | Term/Holiday Period | Start Date | End Date | Teaching Status |
| --- | --- | --- | --- | --- |
| Teaching (Trimester) | Trimester 1 (Teaching Weeks) | 2025-09-15 | 2025-12-05 | Teaching |
| Break (Holiday) | Winter Break | 2025-12-06 | 2026-01-04 | No teaching |
| Assessment | Trimester 1 Exam Period | 2026-01-05 | 2026-01-16 | Exams |
| Teaching (Trimester) | Trimester 2 (Teaching Weeks) | 2026-01-19 | 2026-04-10 | Teaching |
| Break (Holiday) | Spring Break | 2026-04-13 | 2026-04-17 | No teaching |
| Assessment | Trimester 2 Exam Period | 2026-04-20 | 2026-04-30 | Exams |
| Teaching (Trimester) | Trimester 3 (Teaching Weeks) | 2026-05-11 | 2026-07-31 | Teaching |
| Break (Holiday) | Summer Break | 2026-08-01 | 2026-09-06 | No teaching |
| Assessment | Trimester 3 Exam/Final Assessment Period | 2026-08-10 | 2026-08-21 | Exams (where scheduled) |
| Break (Holiday) | Public Holiday Block (Observed) | 2026-05-25 | 2026-05-25 | No teaching (single-day closure) |
