# Amino Acid Codes Table (Three-Letter Codes Only)

| Amino acid | Three-letter code | Classification | Polarity | Side-chain family |
|---|---|---|---|---|
| Alanine | Ala | nullssential | Nonpolar | Aliphatic |
| Arginine | Arg | Conditionally essential | Polar | Basic |
| Asparagine | Asn | nullssential | Polar | Amide |
| Aspartic acid | Asp | nullssential | Polar | Acidic |
| Cysteine | Cys | Conditionally essential | Polar | Sulfur-containing |
| Glutamic acid | Glu | nullssential | Polar | Acidic |
| Glutamine | Gln | Conditionally essential | Polar | Amide |
| Glycine | Gly | Conditionally essential | Nonpolar | Small |
| Histidine | His | Essential | Polar | Basic |
| Leucine | Leu | Essential | Nonpolar | Aliphatic |
| Lysine | Lys | Essential | Polar | Basic |
| Methionine | Met | Essential | Nonpolar | Sulfur-containing |
