# Oxidation States Used in Stock Nomenclature (By Compound Name)

| Compound Name | Formula | Central Element | Oxidation State Indicated | Naming Pattern | Example Use |
| --- | --- | --- | --- | --- | --- |
| Iron(II) chloride | FeCl2 | Fe | +2 | metal(II) + anion | teaching naming |
| Iron(III) chloride | FeCl3 | Fe | +3 | metal(III) + anion | teaching naming |
| Copper(I) oxide | Cu2O | Cu | +1 | metal(I) + oxide | contrasts copper states |
| Copper(II) oxide | CuO | Cu | +2 | metal(II) + oxide | common oxide |
| Tin(II) chloride | SnCl2 | Sn | +2 | metal(II) + anion | classic example |
| Tin(IV) chloride | SnCl4 | Sn | +4 | metal(IV) + anion | higher state |
| Lead(II) oxide | PbO | Pb | +2 | metal(II) + oxide | amphoteric oxide |
| Lead(IV) oxide | PbO2 | Pb | +4 | metal(IV) + oxide | strong oxidizer |
| Manganese(IV) oxide | MnO2 | Mn | +4 | metal(IV) + oxide | battery chemistry |
| Chromium(VI) oxide | CrO3 | Cr | +6 | metal(VI) + oxide | acid anhydride |
| Sulfur(IV) oxide (sulfur dioxide) | SO2 | S | +4 | nonmetal roman numeral | acidic oxide |
| Sulfur(VI) oxide (sulfur trioxide) | SO3 | S | +6 | nonmetal roman numeral | acidic oxide |
