# The Mark Levin Show — Airtimes Listed as Time Ranges (No Start Clock Time)

| Station | City/State | Days | Airtime Window | Feed | Remarks |
| --- | --- | --- | --- | --- | --- |
| KZRG | Joplin, MO | Mon–Fri | 3–6 pm | Live | Window only |
| KIOL | Tomball, TX | Mon–Fri | 3–6 pm | Live | Start not specified |
| WABC | New York, NY | Mon–Fri | 7–10 pm | Live | Evening drive |
| WBAP | Dallas–Fort Worth, TX | Mon–Fri | 5–8 pm | Delayed | Preemptions possible |
| KDKA | Pittsburgh, PA | Mon–Fri | 9–12 pm | Live | Late evening |
| KFI | Los Angeles, CA | Mon–Fri | 6–9 pm | Live | Sports may shift |
| WHIO | Dayton, OH | Mon–Fri | 8–11 pm | Live | Local breaks |
| KFAB | Omaha, NE | Mon–Fri | 7–10 pm | Live | Full show |
| KEX | Portland, OR | Mon–Fri | 4–7 pm | Delayed | Tape delay |
| KNUS | Denver, CO | Mon–Fri | 6–9 pm | Live | Network feed |
| WBT | Charlotte, NC | Mon–Fri | 9–12 pm | Delayed | Clearance varies |
