# Drill bit sizes
> Drill Bit Conversion Table

| gauge | in | mm |
| --- | --- | --- |
| 104 | 0.0031 | 0.079 |
| 103 | 0.0035 | 0.089 |
| 102 | 0.0039 | 0.099 |
| 101 | 0.0043 | 0.109 |
| 100 | 0.0047 | 0.119 |
| 99 | 0.0051 | 0.130 |
| 98 | 0.0055 | 0.140 |
| 97 | 0.0059 | 0.150 |
| 96 | 0.0063 | 0.160 |
| 95 | 0.0067 | 0.170 |
| 94 | 0.0071 | 0.180 |
| 93 | 0.0075 | 0.191 |
| 92 | 0.0079 | 0.201 |
| 91 | 0.0083 | 0.211 |
| 90 | 0.0087 | 0.221 |
| 89 | 0.0091 | 0.231 |
| 88 | 0.0095 | 0.241 |
| 87 | 0.010 | 0.254 |
| 86 | 0.0105 | 0.267 |
| 85 | 0.011 | 0.279 |
| 84 | 0.0115 | 0.292 |
| 83 | 0.012 | 0.305 |
| 82 | 0.0125 | 0.318 |
| 81 | 0.013 | 0.330 |
