# Refrigerator vs Freezer Life for Cooked Side Dishes and Staples (Leftovers)

| Category | Cooked item | Refrigerator (≤40°F / 4°C) | Freezer (0°F / -18°C) |
| --- | --- | --- | --- |
| Grains & starches | Cooked white rice | 4–6 days | 6 months |
| Grains & starches | Cooked brown rice | 3–5 days | 6 months |
| Grains & starches | Cooked quinoa | 5–7 days | 2 months |
| Grains & starches | Mashed potatoes | 3–4 days | 1–2 months |
| Vegetables | Cooked vegetables (plain, non-creamy) | 3–5 days | 8–12 months |
| Vegetables | Cooked leafy greens (spinach/kale) | 3–5 days | 10–12 months |
| Sauces & dairy dishes | Mac and cheese | 3–5 days | 2–3 months |
| Sauces & dairy dishes | Alfredo/cream sauce | 3–4 days | 1–2 months |
| Breakfast items | Cooked French toast | 5–7 days | 2–3 months |
| Breakfast items | Cooked pancakes/waffles | 3–5 days | 2–3 months |
