# Credit Card Debt Lawsuit Time Limits by State (Single Debt Category Only)

| State | Credit Card Debt SOL (Years) | Typical Legal Theory Mentioned | Notes |
|---|---:|---|---|
| California | 4 | Written contract/account stated | May be pled as account stated |
| Texas | 4 | Account stated/open account | Often treated as open account |
| Florida | 5 | Written contract | Some sources cite 4 for open account |
| New York | 6 | Contract | Uniform period commonly applied |
| Illinois | 5 | Written contract | Some variation by pleading |
| Ohio | 6 | Contract | Changes by statute revisions |
| Georgia | 6 | Written contract | May differ for open account |
| Arizona | 6 | Written contract | Consumer debt context |
| Nevada | 6 | Written contract | Oral agreements differ |
| Pennsylvania | 4 | Contract | Debt type can matter |
| Washington | 6 | Written contract | Oral may be shorter |
