# Isotopes of fermium
> Chronology of isotope discovery

| Isotope | Discovered | Reaction |
| --- | --- | --- |
| 241 Fm | 2008 | 204 Pb( 40 Ar,3n) |
| 242 Fm | 1975 | 204 Pb( 40 Ar,2n), 206 Pb( 40 Ar,4n) |
| 243 Fm | 1981 | 206 Pb( 40 Ar,3n) |
| 244 Fm | 1967 | 233 U( 16 O,5n) |
| 245 Fm | 1967 | 233 U( 16 O,4n) |
| 246 Fm | 1966 | 235 U( 16 O,5n) |
| 247 Fm | 1967 | 239 Pu( 12 C,4n) |
| 248 Fm | 1958 | 240 Pu( 12 C,4n) |
| 249 Fm | 1960 | 238 U( 16 O,5n) |
| 250 Fm | 1954 | 238 U( 16 O,4n) |
| 251 Fm | 1957 | 249 Cf(α,2n) |
| 252 Fm | 1956 | 249 Cf(α,n) |
| 253 Fm | 1957 | 252 Cf(α,3n) |
| 254 Fm | 1954 | Neutron capture |
| 255 Fm | 1954 | Neutron capture |
| 256 Fm | 1955 | Neutron capture |
| 257 Fm | 1964 | Neutron capture |
| 258 Fm | 1971 | 257 Fm(d,p) |
| 259 Fm | 1980 | 257 Fm(t,p) |
| 260 Fm? | 1992? | 254 Es+ 18 O, 22 Ne — transfer (EC of 260 Md) [2] |
