# Top U.S. Dental Schools (Overall) and Orthodontics Specialty Standing

| Rank (Overall Dental) | Dental School | Location | Overall Score | Orthodontics Specialty Rank |
| --- | --- | --- | --- | --- |
| 1 | University of California, Los Angeles School of Dentistry | Los Angeles, CA | 98.6 | 2 |
| 2 | University of Michigan School of Dentistry | Ann Arbor, MI | 97.9 | 4 |
| 3 | Harvard School of Dental Medicine | Boston, MA | 97.1 | 9 |
| 4 | University of California, San Francisco School of Dentistry | San Francisco, CA | 96.8 | 3 |
| 5 | University of North Carolina at Chapel Hill Adams School of Dentistry | Chapel Hill, NC | 95.9 | 5 |
| 6 | New York University College of Dentistry | New York, NY | 95.1 | 8 |
| 7 | University of Washington School of Dentistry | Seattle, WA | 94.4 | 6 |
| 8 | University of Pennsylvania School of Dental Medicine | Philadelphia, PA | 93.7 | 7 |
| 9 | Columbia University College of Dental Medicine | New York, NY | 92.9 | 10 |
| 10 | Boston University Henry M. Goldman School of Dental Medicine | Boston, MA | 92.2 | 11 |
