# Sovereign States by Coastline Length (Including Landlocked States Marked as 0 km)

| Country | Coastline (km) | Coastal Access Type | Notes |
|---|---:|---|---|
| Bolivia | 0 | Landlocked | Pacific coast lost in War of the Pacific |
| Austria | 0 | Landlocked | Danube provides river access only |
| Switzerland | 0 | Landlocked | No marine coastline |
| Nepal | 0 | Landlocked | Between India and China |
| Chad | 0 | Landlocked | In the Sahel region |
| Vietnam | 3,260 | Coastal | South China Sea coastline |
| France | 3,427 | Coastal | Includes Atlantic & Mediterranean coasts |
| Japan | 29,751 | Coastal | Island nation |
| South Africa | 2,798 | Coastal | Atlantic & Indian Ocean |
| Canada | 202,080 | Coastal | Arctic, Atlantic, Pacific |
| Paraguay | 0 | Landlocked | Paraguay River to the Atlantic via Argentina |
| Mongolia | 0 | Landlocked | Between Russia and China |
