# Selected Production Sports Cars — 0–60 mph Acceleration Comparison

| Manufacturer | Model / Trim | Model years (approx.) | Engine | Power | Drivetrain | 0–60 mph (s) | Top speed |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Porsche | 911 Carrera (992) | 2020–2024 | 3.0L twin-turbo H6 | 379 hp | RWD | 4.0 | 182 mph |
| Porsche | 911 Carrera S (992) | 2020–2024 | 3.0L twin-turbo H6 | 443 hp | RWD | 3.5 | 191 mph |
| Chevrolet | Corvette Stingray (C8) | 2020–2024 | 6.2L V8 | 495 hp | RWD | 2.9 | 194 mph |
| Ford | Mustang Shelby GT500 (S550) | 2020–2022 | 5.2L supercharged V8 | 760 hp | RWD | 3.3 | 180 mph |
| Nissan | GT-R (R35) | 2017–2024 | 3.8L twin-turbo V6 | 565 hp | AWD | 2.9 | 196 mph |
| Lamborghini | Huracán EVO | 2020–2023 | 5.2L V10 | 631 hp | AWD | 2.9 | 202 mph |
| Ferrari | 488 GTB | 2016–2019 | 3.9L twin-turbo V8 | 661 hp | RWD | 3.0 | 205 mph |
| McLaren | 720S | 2017–2022 | 4.0L twin-turbo V8 | 710 hp | RWD | 2.8 | 212 mph |
| Dodge | Challenger SRT Hellcat | 2015–2023 | 6.2L supercharged V8 | 717 hp | RWD | 3.6 | 199 mph |
