# Adobe Creative Cloud Apps — Feature Highlights and Use Cases

| Product | Primary purpose | Key features (summary) | Typical workflows | Notes |
| --- | --- | --- | --- | --- |
| Photoshop | Raster image editing | Layers, masks, AI selection, retouching | Photo retouching, compositing, web graphics | Deep feature overview rather than a simple lineup |
| Illustrator | Vector design | Pen tool, shapes, typography controls | Logo design, illustrations, icons | Includes explanatory content |
| InDesign | Page layout | Master pages, styles, preflight | Books, magazines, print-ready PDFs | More like a guide |
| Premiere Pro | Video editing | Timeline editing, color tools, proxies | Social video, broadcast edits | Adds workflow detail |
| After Effects | Motion graphics | Compositing, expressions, tracking | Titles, VFX shots, animation | Not a clean catalog |
| Lightroom | Photo management | Cataloging, presets, RAW development | Photo culling, color grading | Explains usage |
| Acrobat Pro | PDF tools | Edit, sign, redaction, OCR | Contracts, forms, compliance | Too descriptive |
| Audition | Audio editing | Multitrack, noise reduction, spectral view | Podcasts, cleanup, mixing | In-depth positioning |
| XD | UI/UX design | Prototyping, components, sharing | App/web mockups | Adds use-case narrative |
| Animate | 2D animation | Timeline animation, HTML5 canvas export | Web banners, cartoons | Guidance-oriented fields |
