# Dancing with the Stars ( U.S. season 7 )
> Weekly scores and songs

| Couple | Score | Style | Music |
| --- | --- | --- | --- |
| Lance & Lacey | 21 (7, 6, 8) | Quickstep | " Close to Me "— The Cure |
| Misty & Maksim | 21 (7, 7, 7) | Mambo | "Black Mambo"—Angel & the Mambokats |
| Maurice & Cheryl | 21 (7, 7, 7) | Mambo | "I Do the Jerk"—Ryan Shaw |
| Brooke & Derek | 26 (9, 8, 9) | Quickstep | " Lover, Come Back to Me "— Barbra Streisand |
| Cloris & Corky | 16 (6, 5, 5) | Mambo | "Coconut Woman"— Harry Belafonte |
| Toni & Alec | 23 (8, 7, 8) | Quickstep | " Blue Skies "— Della Reese |
| Warren & Kym | 22 (7, 7, 8) | Quickstep | "Ding Dong Daddy of the D-Car Line"— Cherry Poppin' Daddies |
| Ted & Inna | 19 (6, 6, 7) | Mambo | "Mambo Gozon"— Tito Puente |
| Cody & Julianne | 23 (8, 7, 8) | Quickstep | " I Want You To Want Me "— Letters to Cleo |
| Rocco & Karina | 21 (7, 7, 7) | Mambo | "La Comay"—Sonora Carrulseles |
| Susan & Tony | 22 (7, 7, 8) | Quickstep | " Bei Mir Bist Du Schon "— The Arthur Murray Orchestra |
| Kim & Mark | 18 (6, 6, 6) | Mambo | " Baby Got Back "— Sir Mix-a-Lot |
| Jeffrey & Edyta | N/A | Quickstep | " I Get a Kick Out of You "— Frank Sinatra |
