# Felony Murder Rule  Elements and Typical Charging Approaches (Non-State-Specific Summary)

| Topic | Common description | Typical prosecutorial use | Typical defense issues | Notes |
|---|---|---|---|---|
| Predicate felony | Underlying felony during which a death occurs | Used to elevate homicide charges | Dispute whether felony qualifies | Lists vary by jurisdiction |
| Causation | Death must be connected to felony | Broad theories often alleged | Intervening cause arguments | Standards differ |
| Agency vs. proximate cause | Who caused the death | Determines liability when third party kills | Arguments about shooter identity | Not uniform nationally |
| Malice requirement | Sometimes inferred from felony | Allows murder charge without intent to kill | Challenges to inference | Depends on jurisdiction |
| Merger doctrine | Limits using assaultive felonies as predicates | Prevents automatic elevation | Litigation over merger | Some states apply, others don’t |
| Accomplice liability | Co-felons may be liable | Charging all participants | Withdrawal/foreseeability defenses | Highly fact-dependent |
| Juvenile treatment | Special rules for youth | Transfer/waiver issues | Developmental mitigation | Varies widely |
| Sentencing exposure (general) | Often treated as murder | Used to justify severe punishment | Constitutional proportionality | Specific ranges are jurisdiction-dependent |
| Plea bargaining | Often used as leverage | Negotiated down to manslaughter | Factual basis disputes | Practices vary |
| Reform trends | Narrowing predicates/abolition | Legislative change in some places | Retroactivity questions | Needs state-by-state detail to be usable |
