# UK Term Dates Snapshot 2016  Universities vs Primary Secondary Schools

| Country/Region | Institution Type | Provider | Term / Holiday | Begins | Ends |
| --- | --- | --- | --- | --- | --- |
| England | University | Eastport University | Spring Term | 2016-01-11 | 2016-03-18 |
| England | University | Eastport University | Easter Break | 2016-03-19 | 2016-04-10 |
| England | University | Eastport University | Summer Term | 2016-04-11 | 2016-06-24 |
| England | University | Eastport University | Summer Vacation | 2016-06-25 | 2016-09-18 |
| England | Primary School | Eastport Primary | Term 3 | 2016-01-05 | 2016-02-12 |
| England | Primary School | Eastport Primary | Half Term | 2016-02-13 | 2016-02-21 |
| England | Primary School | Eastport Primary | Term 4 | 2016-02-22 | 2016-03-24 |
| England | Secondary School | Eastport High School | Term 3 | 2016-01-04 | 2016-02-12 |
| England | Secondary School | Eastport High School | Half Term | 2016-02-13 | 2016-02-21 |
| England | Secondary School | Eastport High School | Term 4 | 2016-02-22 | 2016-03-24 |
