# Supreme Court Justices — Biographical Snapshot (Education, Birthplace, Religion)

| Justice | Birth Year | Birthplace | Religion | Law School | Prior Court/Role | Years on Court |
|---|---:|---|---|---|---|---|
| John G. Roberts Jr. | 1955 | Buffalo, NY | Catholic | Harvard | D.C. Circuit Judge | 2005–present |
| Clarence Thomas | 1948 | Pin Point, GA | Catholic | Yale | D.C. Circuit Judge | 1991–present |
| Samuel A. Alito Jr. | 1950 | Trenton, NJ | Catholic | Yale | Third Circuit Judge | 2006–present |
| Sonia Sotomayor | 1954 | New York, NY | Catholic | Yale | Second Circuit Judge | 2009–present |
| Elena Kagan | 1960 | New York, NY | Jewish | Harvard | U.S. Solicitor General | 2010–present |
| Neil M. Gorsuch | 1967 | Denver, CO | Catholic | Harvard | Tenth Circuit Judge | 2017–present |
| Brett M. Kavanaugh | 1965 | Washington, DC | Catholic | Yale | D.C. Circuit Judge | 2018–present |
| Amy Coney Barrett | 1972 | New Orleans, LA | Catholic | Notre Dame | Seventh Circuit Judge | 2020–present |
| Ketanji Brown Jackson | 1970 | Washington, DC | Protestant | Harvard | D.C. Circuit Judge | 2022–present |
