# Chitty Chitty Bang Bang ( musical )
> Casts

| Character | Original London Cast 2002 | Notable London replacements 2002-2005 | Original Broadway Cast 2005 | First National UK tour and Singapore 2005-2008 | First US Tour 2008-2009 | Second UK Tour 2009-2010 | Original Australian Cast 2012 | West Yorkshire Playhouse and UK and Ireland Tour 2015-2017 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Caractacus Potts | Michael Ball | Gary Wilmot Jason Donovan Brian Conley | Raúl Esparza | Tim Flavin Brian Conley Gary Wilmot Joe McFadden Craig McLachlan Kevin Kennedy Matt Baker Aled Jones | Steve Wilson | Darren Bennett | David Hobson | Jon Robyns (WYP only) Jason Manford (10 Feb - 24 Apr & 21 Sep - 4 Feb) Lee Mead (4 May - 18 Sep) |
| Truly Scrumptious | Emma Williams | Caroline Sheen Scarlett Strallen Jo Gibb | Erin Dilly | Marissa Dunlop | Kelly McCormick | Rachel Stanley Katie Ray | Rachael Beck | Amy Griffiths (until 24 April) Carrie Hope Fletcher (4 May - 2 Oct) Charlotte Wakefield (5 Oct - 4 Feb) |
| Grandpa Potts | Anton Rodgers | Russ Abbott Tony Adams | Philip Bosco | Paul Greenwood Gregor Fisher Tony Adams | Dick Decareau | John Griffiths | Peter Carroll | Andy Hockley |
| Jeremy Potts | Luke Newberry George Gillies Harry Smith |  | Henry Hodges | Connor Doyle Daniel Jukes Daniel Shaw Harrison Edwards Samuel Wright Adam Hargreaves | Jeremy Lipton Zachary Carter Sayle |  | Michael Kilbane Anthony Garcia Max Walburn | Hayden Goldberg Henry Kent Elliot Morris |
| Jemima Potts | Carrie Hope Fletcher Lauren Morgan Kimberley Fletcher |  | Ellen Marlow | Maddy Allison Shona Eaton Chloe Jones Harriet Back Niamh Coombes Katie Reynolds | Aly Brier Camille Mancuso |  | Jasmin Younger Rose Shannon-Duhigg Ashleigh Ross | Lucy Sherman Darcy Snares Caitlin Surtees |
| Childcatcher [1] | Richard O'Brien | Paul O'Grady Peter Polycarpou Derek Griffiths Lionel Blair Stephen Gately Wayne Sleep Alvin Stardust | Kevin Cahoon | Robin Askwith Kevin Kennedy Alvin Stardust Nigel Garton Richard O'Brien Russ Spencer Ian 'H' Watkins | Oliver Wadsworth | Dean Maynard | Tyler Coppin | Stephen Matthews (WYP only) Martin Kemp (10 Feb - 24 Apr) Matt Gillet (4 May - 2 Oct) Jos Vantyler (5 Oct - 4 Feb) |
| Baron Bomburst [2] | Brian Blessed | Victor Spinetti Christopher Biggins | Marc Kudisch | Sean Blowers Ken Morley | George Dvorsky | Edward Peel | Alan Brough Shane Bourne | Don Gallagher (WYP only) Phill Jupitus (10 Feb - 24 Apr & 24 Aug - 4 Feb) Shaun Williamson (4 May - 21 Aug) |
| Baroness Bomburst [3] | Nichola McAuliffe | Sandra Dickinson Louise Gold | Jan Maxwell | Jane Gurnett Barbara Rafferty | Elizabeth Ward | Kim Ismay | Jennifer Vuletic | Tamsin Carroll (WYP only) Michelle Collins (10 Feb - 30 July) Claire Sweeney (3 Aug - 4 Feb) |
| Toymaker [4] | Edward Petherbridge | Freddie Lees | Frank Raiter | Richard Owens | Richard G. Rodgers | Tony Jackson | Phillip Gould Tony Farrell | Ewan Cummins |
| Boris | David Ross | Richard Long | Robert Sella | Robert Traynor | Dirk Lumbard | Richard Ashton | Todd Goddard | Sam Harrison |
| Goran | Emil Wolk | Christopher Ryan | Chip Zien | Nigel Garton | Scott Cote | Nigel Garton | George Kapiniaris | Scott Paige |
| Lord Scrumptious [5] | David Henry | none | Kenneth Kantor | Duncan Smith | George Dvorsky | Edward Peel | Alan Brough Shane Bourne | Don Gallagher (WYP only) Phill Jupitus (10 Feb - 24 Apr & 24 Aug - 4 Feb) Shaun Williamson (4 May - 21 Aug) |
