# Top Baby Names by Meaning Themes (with Popularity Rank)

| Rank | Name | Gender | Meaning | Origin | Category |
| --- | --- | --- | --- | --- | --- |
| 1 | Olivia | Girl | Olive tree | Latin | Nature |
| 2 | Liam | Boy | Strong-willed warrior | Irish | Traditional |
| 3 | Emma | Girl | Whole/universal | Germanic | Classic |
| 4 | Noah | Boy | Rest/comfort | Hebrew | Biblical |
| 5 | Sophia | Girl | Wisdom | Greek | Virtue |
| 6 | Mason | Boy | Stoneworker | French/English | Occupational |
| 7 | Ava | Girl | Life | Latin | Classic |
| 8 | Jacob | Boy | Supplanter | Hebrew | Biblical |
| 9 | Isabella | Girl | God is my oath | Hebrew/Spanish | Royal |
| 10 | Ethan | Boy | Strong/firm | Hebrew | Biblical |
