# Walt Disney Studios Motion Pictures
> Highest - grossing films

| Rank | Title | Year | Studio label | Box office gross |
| --- | --- | --- | --- | --- |
| 1 | Star Wars: The Force Awakens | 2015 | Lucasfilm | $2,068,178,225 |
| 2 | The Avengers | 2012 | Marvel | $1,519,557,910 |
| 3 | Avengers: Age of Ultron | 2015 | Marvel | $1,405,805,868 |
| 4 | Frozen | 2013 | Disney | $1,279,852,693 |
| 5 | Iron Man 3 | 2013 | Marvel | $1,215,439,994 |
| 6 | Captain America: Civil War | 2016 | Marvel | $1,153,294,011 |
| 7 | Toy Story 3 | 2010 | Disney/Pixar | $1,066,969,703 |
| 8 | Pirates of the Caribbean: Dead Man's Chest | 2006 | Disney | $1,066,179,725 |
| 9 | Pirates of the Caribbean: On Stranger Tides | 2011 | Disney | $1,045,713,802 |
| 10 | Alice in Wonderland | 2010 | Disney | $1,025,467,110 |
| 11 | Zootopia | 2016 | Disney | $1,023,623,796 |
| 12 | Finding Dory | 2016 | Disney/Pixar | $1,011,085,432 |
| 13 | The Lion King ‡ | 1994 | Disney | $968,483,777 |
| 14 | The Jungle Book | 2016 | Disney | $966,220,138 |
| 15 | Pirates of the Caribbean: At World's End | 2007 | Disney | $963,420,425 |
| 16 | Finding Nemo ‡ | 2003 | Disney/Pixar | $940,335,536 |
| 17 | Inside Out | 2015 | Disney/Pixar | $857,427,711 |
| 18 | Guardians of the Galaxy | 2014 | Marvel | $774,176,600 |
| 19 | Maleficent | 2014 | Disney | $758,410,378 |
| 20 | The Chronicles of Narnia: The Lion, the Witch and the Wardrobe | 2005 | Disney | $745,013,115 |
| 21 | Monsters University | 2013 | Disney/Pixar | $744,229,437 |
| 22 | Up | 2009 | Disney/Pixar | $735,099,082 |
| 23 | Captain America: The Winter Soldier | 2014 | Marvel | $714,766,572 |
| 24 | The Sixth Sense | 1999 | Hollywood | $672,806,292 |
| 25 | Big Hero 6 | 2014 | Disney | $657,827,828 |
