# Directory of Expedition and Small-Ship Cruise Lines with Headquarters

| Cruise line | Segment | Headquarters (city) | Headquarters (country/region) | Typical operating regions | Notes |
| --- | --- | --- | --- | --- | --- |
| Hurtigruten (Hurtigruten Expeditions) | Expedition | Oslo | Norway | Arctic, Antarctica, Northern Europe | Expedition brand under Hurtigruten Group |
| Lindblad Expeditions (National Geographic-Lindblad) | Expedition | New York, New York | United States | Galápagos, Alaska, Antarctica | Operates expedition fleet |
| Ponant | Expedition / luxury | Marseille | France | Polar, South Pacific, global | French-flag luxury expedition line |
| Seabourn | Luxury (incl. expedition) | Seattle, Washington | United States | Global; expedition voyages | Luxury line with expedition program |
| Scenic Eclipse (Scenic Cruises) | Expedition / luxury | Manchester | United Kingdom | Polar, Americas, Europe | Expedition ships operated by Scenic Group |
| Aqua Expeditions | River / small-ship | Singapore | Singapore | Amazon, Mekong, Indonesia | Small-ship expedition-style itineraries |
| UnCruise Adventures | Small-ship | Juneau, Alaska | United States | Alaska, Pacific Northwest, Hawaii | US-focused adventure cruising |
| SeaDream Yacht Club | Yacht / luxury | Oslo | Norway | Caribbean, Mediterranean | Yacht-style cruise operator |
| American Cruise Lines | Coastal / river | Guilford, Connecticut | United States | US rivers & coasts | US-flag small ship operator |
| CroisiEurope | River / coastal | Strasbourg | France | European rivers, coastal voyages | Europe-based operator |
| Celestyal Cruises | Regional (Aegean) | Athens | Greece | Greek Islands, Eastern Med | Greece-based operator |
